Time,PM25,PM10,Temperature,Humidity,Pressure
1707953036.1378503,0,0,23.187421875,48.26996511543099,1004.8045538802008
1707953037.1512332,0,0,23.188984375,48.28828101580745,1004.8053765071838
1707953038.1645794,0,0,23.1895703125,48.300436663296345,1004.7994436592863
1707953039.1779048,0,0,23.190546875,48.29451485191888,1004.7958686330385
1707953040.1929383,0,0,23.1909375,48.312689266268166,1004.7982264680321
1707953041.2062275,0,0,23.1909375,48.31873180451385,1004.7999482179919
1707953042.219568,0,0,23.1911328125,48.3187558324755,1004.8037097629527
1707953043.2328079,0,0,23.1925,48.3189240295845,1004.8076578313663
1707953044.2460558,0,0,23.19328125,48.331105894686544,1004.8123735270491
1707953045.2593563,0,0,23.1940625,48.367464287986465,1004.8205327507984
1707953046.2727396,0,0,23.19484375,48.355472214472314,1004.820083184896
1707953047.286001,0,0,23.1966015625,48.35568860314965,1004.8263891545444
1707953048.2993226,0,1,23.1973828125,48.37391757336914,1004.8242178165069
1707953049.3126483,0,1,23.1977734375,48.38001035727628,1004.8231321445779
1707953050.3258371,0,1,23.1993359375,48.37415808209502,1004.8256765314338
1707953051.3392627,0,0,23.2008984375,48.392485271346594,1004.8247773641183
1707953052.3534753,0,0,23.201875,48.39865091505311,1004.8349765057916
1707953053.366732,0,0,23.2028515625,48.429001125445374,1004.8331231909528
1707953054.3800955,0,0,23.2040234375,48.43519217833562,1004.8333097014029
1707953055.3945274,0,0,23.2044140625,48.45338142207373,1004.8339457995368
1707953056.4078186,0,0,23.206171875,48.47778926402676,1004.8419736200037
1707953057.4223378,0,0,23.2071484375,48.49605524927604,1004.8418420795626
1707953058.435464,0,0,23.208125,48.50827381827879,1004.8365451414003
1707953059.4480662,0,0,23.2096875,48.52661536472845,1004.8287587209504
1707953060.4613168,0,0,23.2106640625,48.53883611863684,1004.825183537403
1707953061.4745443,0,0,23.2118359375,48.532930609292244,1004.83225722267
1707953062.4878407,0,0,23.2128125,48.53910141041676,1004.82868202283
1707953063.5011082,0,0,23.214375,48.5392943536442,1004.8277827504263
1707953064.5143173,0,0,23.2157421875,48.51526337892905,1004.8265654203792
1707953065.5275242,0,0,23.2169140625,48.51540803433442,1004.8284736757797
1707953066.5408294,0,0,23.2184765625,48.491404277048396,1004.8379053167861
1707953067.5541089,0,0,23.21984375,48.48552432189125,1004.8280788336343
1707953068.5674934,0,0,23.2204296875,48.47349990348154,1004.8238674695438
1707953069.5808196,0,0,23.2208203125,48.45540455322738,1004.8245035493397
1707953070.594089,0,0,23.2216015625,48.437359191370845,1004.8274975418035
1707953071.6074054,0,0,23.22296875,48.40729561278929,1004.8314456627064
1707953072.6207283,0,0,23.22296875,48.37706862786138,1004.824558317629
1707953073.6339355,0,0,23.2239453125,48.35301099129275,1004.8227048362638
1707953074.647266,0,0,23.2247265625,48.334975878947105,1004.8239769891634
1707953075.6604326,0,0,23.225703125,48.3109238528903,1004.8152361225219
1707953076.6736915,0,0,23.22609375,48.28680296568484,1004.8124285055054
1707953077.6869686,0,0,23.22765625,48.29303709640031,1004.8046416940515
1707953078.7002044,0,0,23.2282421875,48.26894259348374,1004.7987083928277
1707953079.7139657,0,0,23.2298046875,48.25101189966536,1004.8029744791816
1707953080.7287102,0,0,23.230390625,48.251083928755726,1004.8108159874861
1707953081.7436113,0,0,23.230390625,48.226923020650894,1004.8056504232924
1707953082.7564697,0,0,23.23078125,48.22697102155288,1004.8062864842033
1707953083.769685,0,0,23.231953125,48.227115025437286,1004.8099165264305
1707953084.7829497,1,1,23.231953125,48.21503577130194,1004.8150821037525
1707953085.7953224,1,1,23.2337109375,48.21525173828107,1004.8196662637437
1707953086.8090835,1,1,23.2352734375,48.20336520341791,1004.8290980072575
1707953087.8229027,0,0,23.2360546875,48.197422218401755,1004.8303701508656
1707953088.8366058,0,0,23.2380078125,48.20370109986372,1004.8283848830662
1707953089.84986,0,0,23.238984375,48.191743292269834,1004.8282531776817
1707953090.863246,0,0,23.24015625,48.1858486330141,1004.8215519754154
1707953091.8764203,0,0,23.2425,48.18613647405067,1004.8150370324948
1707953092.888996,0,0,23.2446484375,48.17432366310105,1004.8030383171568
1707953093.9025402,0,0,23.2466015625,48.16852544476241,1004.7924433839934
1707953094.9158707,0,0,23.2477734375,48.16263147430502,1004.7874639068202
1707953095.9296646,0,0,23.2489453125,48.15070022449132,1004.7876501137029
1707953096.94352,0,0,23.2503125,48.13879371536262,1004.7743790861432
1707953097.9571,0,0,23.251875,48.12087547064425,1004.773479372953
1707953098.9718564,0,0,23.252265625,48.12695986592352,1004.7758373081492
1707953099.9856153,0,0,23.252265625,48.10281523158337,1004.7792811296447
1707953100.998918,0,0,23.2524609375,48.10283918830251,1004.7744334098873
1707953102.0127292,0,0,23.2540234375,48.07888942475918,1004.7890309194121
1707953103.0259938,0,0,23.2540234375,48.05475130534441,1004.7959185844448
1707953104.0392852,0,0,23.255,48.060905230116795,1004.8043963541899
1707953105.0526,0,0,23.255390625,48.05491887524472,1004.8084762370053
